County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Adair;10;10;6367;4938;0;
Andrew;19;19;5135;3069;0;
Atchison;6;6;2137;1005;0;
Audrain;21;21;6294;4318;0;
Barry;19;19;9599;4223;0;
Barton;16;16;4572;1373;0;
Bates;16;16;5005;3397;0;
Benton;13;13;5575;3381;0;
Bollinger;15;15;4102;1754;0;
Boone;92;92;37515;37480;0;
Buchanan;51;51;19812;17798;0;
Butler;25;25;11696;4666;0;
Caldwell;10;10;2593;1645;0;
Callaway;28;28;11108;6559;0;
Camden;26;26;13122;6296;0;
Cape Girardeau;36;36;23814;10568;0;
Carroll;17;17;3155;1568;0;
Carter;8;8;1797;964;0;
Cass;48;48;27248;16681;0;
Cedar;14;14;4238;1910;0;
Chariton;17;17;2419;1890;0;
Christian;28;28;22101;9058;0;
Clark;12;12;1899;1794;0;
Clay;75;75;51033;44522;0;
Clinton;9;9;5282;4164;0;
Cole;41;41;24750;11753;0;
Cooper;15;15;5058;2400;0;
Crawford;18;18;5686;3632;0;
Dade;13;13;2963;1104;0;
Dallas;14;14;4788;2407;0;
Daviess;12;12;2351;1402;0;
DeKalb;12;12;2941;1707;0;
Dent;8;8;4369;1865;0;
Douglas;25;25;4498;1741;0;
Dunklin;21;21;6721;4901;0;
Franklin;57;57;26428;18556;0;
Gasconade;22;22;4753;2355;0;
Gentry;11;11;2085;1200;0;
Greene;140;140;77841;46626;0;
Grundy;22;22;3171;1561;0;
Harrison;12;12;2729;1279;0;
Henry;20;20;6357;4456;0;
Hickory;12;12;2790;2043;0;
Holt;7;7;1864;811;0;
Howard;10;10;2915;1972;0;
Howell;21;21;11093;5118;0;
Iron;12;12;2477;2157;0;
Jackson;704;704;129612;180944;0;
Jasper;68;68;31846;13002;0;
Jefferson;84;84;46624;46057;0;
Johnson;21;21;12194;7778;0;
Knox;6;6;1205;761;0;
LaClede;25;25;10576;4212;0;
Lafayette;20;20;9642;6397;0;
Lawrence;20;20;11194;4506;0;
Lewis;11;11;2862;1754;0;
Lincoln;24;24;11316;8367;0;
Linn;21;21;3420;2440;0;
Livingston;14;14;4029;2278;0;
Macon;13;13;4673;2857;0;
Madison;8;8;2905;1970;0;
Maries;11;11;2825;1563;0;
Marion;22;22;7815;4568;0;
McDonald;18;18;5443;2215;0;
Mercer;10;10;1207;582;0;
Miller;21;21;7795;2956;0;
Mississippi;9;9;2903;2374;0;
Moniteau;15;15;4743;1913;0;
Monroe;9;9;2632;1645;0;
Montgomery;11;11;3561;2147;0;
Morgan;11;11;5654;3053;0;
New Madrid;24;24;4154;3714;0;
Newton;24;24;17186;6563;0;
Nodaway;20;20;6226;3830;0;
Oregon;16;16;2769;1823;0;
Osage;20;20;4975;1673;0;
Ozark;11;11;3083;1560;0;
Pemiscot;17;17;3398;3381;0;
Perry;19;19;5583;2621;0;
Pettis;26;26;11600;5801;0;
Phelps;39;39;11874;6666;0;
Pike;17;17;4312;3664;0;
Platte;35;35;23298;18404;0;
Polk;24;24;8586;3775;0;
Pulaski;10;10;8618;3550;0;
Putnam;11;11;1659;771;0;
Ralls;9;9;2986;2031;0;
Randolph;15;15;6550;3585;0;
Ray;13;13;5672;5034;0;
Reynolds;14;14;1895;1449;0;
Ripley;14;14;3693;1907;0;
Saline;19;19;5333;4428;0;
Schuyler;6;6;1124;894;0;
Scotland;8;8;1352;828;0;
Scott;27;27;11330;6057;0;
Shannon;11;11;2086;1160;0;
Shelby;9;9;2280;1200;0;
St Charles;164;164;95789;66826;0;
St Clair;18;18;3098;1841;0;
St Francois;29;29;12087;10748;0;
St Louis City;208;208;27460;115414;0;
St Louis County;480;480;244388;294402;0;
Ste Genevieve;14;14;3791;4281;0;
Stoddard;22;22;9241;3946;0;
Stone;21;21;10521;4576;0;
Sullivan;15;15;1880;1178;0;
Taney;22;22;13550;5585;0;
Texas;22;22;7234;3664;0;
Vernon;34;34;5731;3206;0;
Warren;25;25;7882;5461;0;
Washington;19;19;4638;4455;0;
Wayne;19;19;3919;2249;0;
Webster;15;15;10181;4648;0;
Worth;7;7;691;436;0;
Wright;19;19;6090;2188;0;
